Sr No,MODULE_NAME,SUB_MODULE_NAME,API_path,HTTP_Method,API_name,Contoller_Name,Claim_name,ACTION,Role_name
105,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/funding ,POST,,CourseFundingController.saveAll,,,
106,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/funding,DELETE,,CourseFundingController.deleteByFundingNameIds,,,
107,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/english-eligibility,POST,,CourseEnglishEligibilityController.saveUpdateCourseEnglishEligibility,,,
108,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/english-eligibility,GET,,CourseEnglishEligibilityController.getAllCourseEnglishEligibility,,,
109,INSTITUTE_MODULE,INSTITUTE,/api/v1//course/{courseId}/english-eligibility,DELETE,,CourseEnglishEligibilityController.deleteByCourseId,,,
110,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/delivery-mode,POST,,CourseDeliveryModeController.saveUpdateCourseDeliveryMode,,,
111,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/delivery-mode,GET,,CourseDeliveryModeController.getAllCourseDeliveryMode,,,
112,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/delivery-mode,DELETE,,CourseDeliveryModeController.deleteByCourseDeliveryModeIds,,,
113,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/contact-person,POST,,CourseContactPersonController.saveAll,,,
114,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/contact-person,DELETE,,CourseContactPersonController.deleteByCourseAndUserIds,,,
115,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/career-outcome,POST,, CourseCareerOutcomeController.saveUpdateCourseCareerOutcomes,,,
116,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/career-outcome,GET,,CourseCareerOutcomeController.getCourseCareerOutcomesById,,,
117,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/career-outcome,DELETE,,CourseCareerOutcomeController.deleteByCourseCareerOutcomeIds,,,
118,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/aboutme,POST,,CourseAboutMeController.addAboutMe,,,
119,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/aboutme/{id},PUT,,CourseAboutMeController.updateAboutMe,,,
120,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/aboutme/{id},DELETE,,CourseAboutMeController.deleteAboutMe,,,
121,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/aboutme/{id},GET,,CourseAboutMeController.getPaginatedAboutMe,,,
122,INSTITUTE_MODULE,INSTITUTE,/api/v1/gallery/entityType/{entityType}/entityId/{entityId},GET,,CommonEndController.getEntityGallery,,,
123,INSTITUTE_MODULE,INSTITUTE,/api/v1/upload/career,POST,,CareerUploadController.uploadCareer,,,
124,INSTITUTE_MODULE,INSTITUTE,/api/v1/career-test-result/{entityType}/,POST,,CareerTestResultController.saveOrUpdateResult,,,
125,INSTITUTE_MODULE,INSTITUTE,/api/v1//career-test-result/is-completed,GET,,CareerTestResultController.isTestCompleted,,,
126,INSTITUTE_MODULE,INSTITUTE,/api/v1/career/job/skill/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CareerTestController.getCareerJobSkills,,,
127,INSTITUTE_MODULE,INSTITUTE,/api/v1/career/job/working/style/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CareerTestController.getCareerJobWorkingStyles,,,
128,INSTITUTE_MODULE,INSTITUTE,/api/v1/career/job/subject/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CareerTestController.getCareerJobSubjects,,,
129,INSTITUTE_MODULE,INSTITUTE,/api/v1/career/job/type/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CareerTestController.getCareerJobTypes,,,
130,INSTITUTE_MODULE,INSTITUTE,/api/v1/career/job/pageNumber/{pageNumber}/pageSize/{pageSize},,,CareerTestController.getCareerJobs,,,
131,INSTITUTE_MODULE,INSTITUTE,/api/v1/career/job/autosuggest/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CareerTestController.getCareerJobsByName,,,
134,INSTITUTE_MODULE,INSTITUTE,/api/v1/career/job/related/career/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CareerTestController.getRelatedCareers,,,
135,INSTITUTE_MODULE,INSTITUTE,/api/v1/career/job/{jobId},GET,,CareerTestController.getCareerJobById,,,
136,INSTITUTE_MODULE,INSTITUTE,/api/v1/career/job/related/course/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CareerTestController.getRelatedCourseBasedOnCareerTest,,,
137,INSTITUTE_MODULE,INSTITUTE,/api/v1/career/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CareerController.findByName,,,
138,INSTITUTE_MODULE,INSTITUTE,/api/v1/accrediation,POST,,AccrediatedDetailController.addAccrediationDetail,,,
139,INSTITUTE_MODULE,INSTITUTE,/api/v1/accrediation/entityId/{id}/entityType/{entityType},GET,,AccrediatedDetailController.getAccrediationDetailByEntityIdAndEntityType,,,
140,INSTITUTE_MODULE,INSTITUTE,/api/v1/accrediation/entityId/{id}/entityType/{entityType},DELETE,,AccrediatedDetailController.deleteAccrediationDetailByEntityIdAndEntityType,,,
141,INSTITUTE_MODULE,INSTITUTE,/api/v1/institute/{instituteId}/course,POST,,CourseController.save,,,
142,INSTITUTE_MODULE,INSTITUTE,/api/v1/institute/{instituteId}/course/{id},PUT,,CourseController.update,,,
143,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CourseController.getAllCourse,,,
144,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/autoSearch/{searchKey}/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CourseController.autoSearch,,,
145,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{id}/{linked_course_ids},DELETE,,CourseController.delete,,,
146,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/search/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CourseController.searchCourse,,,
147,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/search ,POST,,CourseController.searchCourse,,,
148,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/advanceSearch,POST,,CourseController.advanceSearch,,,
149,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{id}/,GET,,CourseController.get ,,,
150,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/institute/{instituteId},PUT,,CourseController.getAllCourseByInstituteID,,,
151,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/keyword/{keyword},GET,,CourseController.searchCourseKeyword,,,
152,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/faculty/{facultyId},GET,,CourseController.getCoursesByFacultyId,,,
153,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/user/{courseIds}/{sortBy}/{sortAsscending},GET,,CourseController.getUserCourses,,,
154,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/filter,POST,,CourseController.courseFilter,,,
155,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/autoSearch/{searchKey}/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CourseController.autoSearchByCharacter,,,
156,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/noResult/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CourseController.getCourseNoResultRecommendation,,,
157,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/keyword/recommendatation/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CourseController.getCourseKeywordRecommendation,,,
158,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/cheapest/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CourseController.getCheapestCourse,,,
159,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/getCourseCountByLevel,GET,,CourseController.getCourseCountByLevel,,,
160,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/getCourseCountByLevel,GET,,CourseController.getCourseCountByLevel,,,
161,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/names/distinct/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,CourseController.getDistinctCourses,,,
162,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/mobile/{instituteId},POST,,CourseController.addCourseViaMobile,,,
163,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/mobile/{courseId},PUT,,CourseController.updateCourseViaMobile,,,
164,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/mobile/{instituteId},GET,,CourseController.getCourseViaMobile,,,
165,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/public/mobile/{instituteId},GET,,CourseController.getCourseViaMobile,,,
166,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/status/{courseId},PUT,,CourseController.changeStatus,,,
167,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/institute/pageNumber/{pageNumber}/pageSize/{pageSize}/{instituteId},GET,,CourseController.getCourseByInstituteId,,,
168,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/nearest,POST,,CourseController.getNearestCourseList,,,
169,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/courseIds,POST,,CourseController.getCourseByIds,,,
170,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/recommendation/{courseId},GET,,CourseController.getRecommendateCourses,,,
171,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/related/{courseId},GET,,CourseController.getRelatedCourses,,,
172,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/count/{instituteId},GET,,CourseController.getCourseCountByInstituteId,,,
173,INSTITUTE_MODULE,INSTITUTE,/api/v1/institute/{instituteId}/course/basic/info,POST,,CourseController.saveBasicCourse,,,
174,INSTITUTE_MODULE,INSTITUTE,/api/v1/institute/{instituteId}/course/basic/info/{id},PUT,,CourseController.updateBasicCourse,,,
175,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/procedure_id,PUT,,CourseController.updateProcedureIdInCourse,,,
176,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/procedure_id/institute_id/{instituteIds}/{studentType}/{procedureId},PUT,,CourseController.updateProcedureIdInCourseByInstituteId,,,
177,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/draft/publish/{courseId},POST,,CourseController.publishDraftCourse,,,
178,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/draft/pageNumber/{pageNumber}/pageSize/{pageSize}/{name}/{instituteId},GET,,CourseController.getDraftCourses,,,
179,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/draft/{courseId},DELETE,,CourseController.discardDraftCourse,,,
180,INSTITUTE_MODULE,INSTITUTE,/api/v1/request/join,POST,,InstituteJoinRequestInterface.requestJoinInstitute,,,
181,INSTITUTE_MODULE,INSTITUTE,/api/v1/request/join,GET,,InstituteJoinRequestInterface.getRequestsOfInstituteJoinRequest,,,
182,INSTITUTE_MODULE,INSTITUTE,/api/v1/request/join/update-status/{instituteJoinRequestId},PUT,,InstituteJoinRequestInterface.updateInstituetJoinRequestStatus,,,
183,INSTITUTE_MODULE,INSTITUTE,/api/v1/request/page/{instituteId},POST,,InstitutePageRequestInterface.requestInstitutePageAccess,,,
184,INSTITUTE_MODULE,INSTITUTE,/api/v1/request/page/{instituteId},GET,,InstitutePageRequestInterface.getRequestsOfInstitutePageAccess,,,
185,INSTITUTE_MODULE,INSTITUTE,/api/v1/request/page/update-status/{institutePageRequestId},PUT,,InstitutePageRequestInterface.updateInstituetPageRequestStatus,,,
186,INSTITUTE_MODULE,INSTITUTE,/api/v1/recommend/institute,POST,,InstituteRecommedPageRequestController.recommendInstitutePage,,,
187,INSTITUTE_MODULE,INSTITUTE,/api/v1/recommend/institute,GET,,InstituteRecommedPageRequestController.getRecommendationOfInstitutePage,,,
188,INSTITUTE_MODULE,INSTITUTE,/api/v1/recommend/institute/update-status/{instituteRecommendationRequestId},PUT,,InstituteRecommedPageRequestController.updateInstitueRecommendationStatus,,,
189,INSTITUTE_MODULE,INSTITUTE,/api/v1/institute/service/instituteId/{instituteId},POST,,InstituteService.addInstituteService,,,
190,INSTITUTE_MODULE,INSTITUTE,/api/v1/institute/service/{instituteServiceId},DELETE,,InstituteService.deleteById,,,
191,INSTITUTE_MODULE,INSTITUTE,/api/v1/institute/service/instituteId/{instituteId},GET,,InstituteService.getInstituteServices,,,
192,INSTITUTE_MODULE,INSTITUTE,/api/v1/skill/pageNumber/{pageNumber}/pageSize/{pageSize,GET,,JobSkillInterface.getJobSkills,,,
193,INSTITUTE_MODULE,INSTITUTE,/api/v1/level/,POST,,LevelController.saveLevel,,,
194,INSTITUTE_MODULE,INSTITUTE,/api/v1/level/update/{levelId},PUT,,LevelController.updateLevel,,,
195,INSTITUTE_MODULE,INSTITUTE,/api/v1/level/,GET,,LevelController.getAll,,,
196,INSTITUTE_MODULE,INSTITUTE,/api/v1/level/{levelId},GET,,LevelController.getById,,,
197,INSTITUTE_MODULE,INSTITUTE,/api/v1/category/{category},GET,,LevelController.getByCategory,,,
198,INSTITUTE_MODULE,INSTITUTE,/api/v1/location/entityId/{entityId}/entityType/{entityType},POST,,LocationInterface.saveUpdateLocation,,,
199,INSTITUTE_MODULE,INSTITUTE,/api/v1/location/entityId/{entityId}/entityType/{entityType},GET,,LocationInterface.getLocationByEntityIdAndEntityType,,,
200,INSTITUTE_MODULE,INSTITUTE,/api/v1/institute/{instituteId}/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,OffCampusCourseInterface.getOffCampusCoursesByInstituteId,,,
201,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/partner,POST,,PartnerController.addUpdatePartner,,,
202,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/partner/entityType/{entityType},GET,,PartnerController.getPartnerByEntityType,,,
203,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/partner,DELETE,,PartnerController.deleteCoursePartner,,,
204,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/per-training-review,POST,,PerTrainingReview.saveUpdatePerTrainingReview,,,
205,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/per-training-review,,,PerTrainingReview.getPerTrainingReview,,,
206,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/per-training-review,,,PerTrainingReview.deletePerTrainingReview,,,
207,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/recognition-of-prior-learning,POST,,RecognitionOfPriorLearningInterface.saveUpdateRecognitionOfPriorLearning,,,
208,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/recognition-of-prior-learning,GET,,RecognitionOfPriorLearningInterface.getRecognitionOfPriorLearning,,,
209,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/recognition-of-prior-learning,DELETE,,RecognitionOfPriorLearningInterface.deleteRecognitionOfPriorLearning,,,
210,INSTITUTE_MODULE,INSTITUTE,/api/v1/service/pageNumber/{pageNumber}/pageSize/{pageSize},GET,,ServiceInterface.getAllServices,,,
211,INSTITUTE_MODULE,INSTITUTE,/api/v1/subject//pageNumber/{pageNumber}/pageSize/{pageSize},GET,,SubjectInterface.getAllSubjects,,,
212,INSTITUTE_MODULE,INSTITUTE,/api/v1/timing/entityId/{entityId}/entityType/{entityType},POST,,TimingInterface.saveOrUpdate,,,
213,INSTITUTE_MODULE,INSTITUTE,/api/v1/timing/entityId/{entityId}/entityType/{entityType},GET,,TimingInterface.getTimingByEntityIdAndEntityType,,,
214,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/work-placement-internship,POST,,WorkPlacementInternshipInterface.saveUpdateWorkPlacementInternship,,,
215,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/work-placement-internship,GET,,WorkPlacementInternshipInterface.getWorkPlacementInternship,,,
216,INSTITUTE_MODULE,INSTITUTE,/api/v1/course/{courseId}/work-placement-internship,DELETE,,WorkPlacementInternshipInterface.deleteWorkPlacementInternship,,,
217,INSTITUTE_MODULE,INSTITUTE,/api/v1/addProgramme/{instituteId},POST,,ProgrammeInterface.addProgramme,,,
218,INSTITUTE_MODULE,INSTITUTE,/api/v1/programme/{programId},PUT,,ProgrammeInterface.updateProgramme,,,
219,INSTITUTE_MODULE,INSTITUTE,/api/v1/program/{programId},PUT,,ProgrammeInterface.programs,,,
220,INSTITUTE_MODULE,INSTITUTE,/api/v1//programme/program_structure/{programId},GET,,ProgrammeInterface.programStructure,,,
221,INSTITUTE_MODULE,INSTITUTE,/api/v1/getProgrammeByType/{type},GET,,ProgrammeInterface.getProgrammeByType,,,
222,INSTITUTE_MODULE,INSTITUTE,/api/v1/program_structure/{programmeId},GET,,ProgrammeInterface.getProgramStructure,,,
223,INSTITUTE_MODULE,INSTITUTE,/api/v1/getProgrameById/{programmeId},GET,,ProgrammeInterface.getProgrammeById,,,
224,INSTITUTE_MODULE,INSTITUTE,/api/v1/location/{programmeId},PUT,,ProgrammeInterface.updateLocation,,,
225,INSTITUTE_MODULE,INSTITUTE,/api/v1/prerequisites/{programId},PUT,,ProgrammeInterface.updateCurriculum,,,
226,INSTITUTE_MODULE,INSTITUTE,/api/v1/prerequisites/{programmeId},GET,,ProgrammeInterface.getPrerequisites,,,
227,INSTITUTE_MODULE,INSTITUTE,/api/v1/curriculum/{programmeId},GET,,ProgrammeInterface.getCurriculum,,,
228,INSTITUTE_MODULE,INSTITUTE,/api/v1/savelocation/{programId},PUT,,ProgrammeInterface.saveLocation,,,
229,INSTITUTE_MODULE,INSTITUTE,/api/v1/locationBy/{programId},GET,,ProgrammeInterface.getLocationByProgramId,,,
